Rzeszów,50.04015435,22.006124806535
Kraków,50.0591381,19.9372696
Katowice,50.244967474000475,19.02679182200046
Opole,50.66800573900048,17.91971986900046
Wrocław,51.1071531,17.0230635
Zielona Góra,51.9391761,15.5120624461033
Poznań,52.4299047,16.9352252
Łódź,51.7471563,19.5665896
Kielce,50.8961522,20.5798348952528
Lublin,51.250969,22.5547430471451
Warszawa,52.2458285,21.2234804
Białystok,53.13074825,23.1708377413392
Olsztyn,53.783197,20.4918318
Toruń,53.0129269,18.6040463
Gdańsk,54.37834175,18.5866973556132
Szczecin,53.43813,14.5423387
